Title,Authors,Pubhouse,NewPrice,OldPrice,Discount
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер : Бестселлеры O`Reilly,1 700,2 179,22
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services","Феррари Альберто, Руссо Марко",ДМК-Пресс,3 148,5 723,45
Хаос-инжиниринг,"Розенталь Кейси, Джонс Нора",ДМК-Пресс,1 842,3 349,45
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,"Кехтарнаваз Насер, Ким Намджин",ДМК-Пресс,1 382,2 513,45
Спортивное программирование. Новый нижний предел соревнований по программированию,"Халим Стивен, Халим Феликс",ДМК-Пресс,2 456,4 466,45
Python и наука о данных для чайников,"Мюллер Джон Пол, Массарон Лука",Диалектика,2 268,4 123,45
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,Прометей,370,672,45
Искусство тестирования программ,"Сандлер Кори, Майерс Гленфорд, Баджетт Том",Диалектика,2 958,5 378,45
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань : Среднее профессиональное образование,718,1 306,45
"Мифический человеко-месяц, или Как создаются программные системы",Брукс Фредерик,Питер : Библиотека программиста,1 710,2 192,22
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,ДМК-Пресс,1 842,3 349,45
Разработка и реализац.портальн.решений: Практикум,"Лукьянов Павел Борисович, Маркова Светлана Владимировна",Прометей,592,1 076,45
Генетические алгоритмы на Python,Вирсански Эйял,ДМК-Пресс,1 995,3 628,45
C#. Основы программирования. Учебное пособие,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань : Учебники для вузов. Специальная литература,2 284,4 152,45
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань : Учебники для вузов. Специальная литература,880,1 600,45
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер : Для профессионалов,4 427,5 676,22
Istio. Приступаем к работе,"Калькот Ли, Бутчер Зак",ДМК-Пресс,1 688,3 069,45
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям,Граймс Роджер А.,ДМК-Пресс,1 324,2 407,45
Проектирование веб-API,Лоре Арно,ДМК-Пресс,1 842,3 349,45
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер : Для профессионалов,2 694,3 454,22
Эволюционные нейросети на языке Python,Омельяненко Ярослав,ДМК-Пресс,1 842,3 349,45
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,ДМК-Пресс,1 842,3 349,45
Цифровой синтез. Практический курс,"Романов А. Ю., Антонов А. А., Панчул Ю. В.",ДМК-Пресс,2 149,3 908,45
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань : Учебники для вузов. Специальная литература,1 069,1 943,45
Криптография и взлом шифров на Python,Свейгарт Эл,Диалектика,2 268,4 123,45
Программист-прагматик,"Томас Дэвид, Хант Эндрю",Диалектика,2 958,5 378,45
Учимся программировать с примерами на Python,Фримен Эрик,Диалектика : Head First,2 958,5 378,45
Параллельное программирование на C++ с помощью библиотеки TBB,"Восс Майкл, Асенхо Рафаэль, Рейндерс Джеймс",ДМК-Пресс,3 071,5 583,45
Предметно-ориентированное проектирование в Enterprise Java,Наир Виджей,ДМК-Пресс,1 995,3 628,45
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel,"Феррари Альберто, Руссо Марко",ДМК-Пресс,1 612,2 930,45
Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,ДМК-Пресс,1 842,3 349,45
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android,"Льюис Шон, Данн Майк",ДМК-Пресс,1 995,3 628,45
Паттерны объектно-ориентированного проектирования,"Гамма Э., Хелм Р., Джонсон Р.",Питер : Библиотека программиста,846,1 057,20
Управление памятью в .NET для профессионалов,Кокоса Конрад,ДМК-Пресс,3 148,5 723,45
Исследование операций и методы оптимизации. Учебное пособие,"Болотский Александр Владимирович, Кочеткова Ольга Анатольевна",Лань : Учебники для вузов. Специальная литература,485,881,45
Веб-компоненты в действии,Фаррелл Бен,ДМК-Пресс,1 688,3 069,45
Машинное обучение на R: экспертные техники для прогностического анализа,Ланц Бретт,Питер : Библиотека программиста,2 910,3 731,22
Глубокое обучение. Погружение в мир нейронных сетей,"Николенко С., Кадурин А., Архангельская Е.",Питер : Библиотека программиста,1 554,1 992,22
Архитектура компьютерных систем. Курс лекций. Учебное пособие,Белугина Светлана Викторовна,Лань : Учебники для вузов. Специальная литература,1 213,2 206,45
Разработка программных модулей программного обеспечения для компьютерных систем,Белугина Светлана Викторовна,Лань : Учебники для вузов. Специальная литература,2 152,3 912,45
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань : Учебники для вузов. Специальная литература,617,1 122,45
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань : Учебники для вузов. Специальная литература,3 750,6 818,45
Введение в глубокое обучение,Черняк Евгений,Вильямс,1 184,2 152,45
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,ДМК-Пресс,1 382,2 513,45
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс : Мировой компьютерный бестселлер (обложка),923,1 264,27
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,453,823,45
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,РГГУ,554,1 008,45
